,資料類別,編號,content,Unit,修正後區域標記,修正後情緒標記,subject1,subject2,subject3,subject4,subject5,reCheckedEmotion,reCheckedsubject,freq
2840,2020部門,9896,原住民族博物館設在高雄的澄清湖，這是一個權益大事，北有故宮、南有原住民族博物館，中央既然已經核定了，我想了解一下，到現在為止中央到底協助到什麼程度？請主委答復。主席（康議長裕成）：請主委說明。原住民事務委員會谷縱‧喀勒芳安主任委員：謝謝主席、伊斯坦大議員。國立原住民博物館其實整個興建及規劃都是由中央來主導，地方就是協助關於用地的取得，包括未來都市計畫的用地變更、包括整個環評的部分。中央其實在今年7月才成立籌備小組，整個整體完成預計要在114年，其實市府覺得時間太冗長，關於市府原博館的推動小組，這星期五要召開第三次會議，中央是召開第一次，我們有做一些建議，希望他們在整個期程上可以做一些調整。市長在上次市政會議也指示，我們全力配合中央，包括剛剛所提的土地的取得，包括環評的部分，包括都市計畫等等，我們都會全力配合中央辦理。伊斯坦大‧貝雅夫‧正福議員：謝謝。我想中央的進度和時程拖太久，9月分我在中央政府參加轉型正義的委員會議，我也會向總統報告，希望把時程提早，謝謝議長、市長。,[],0,3,1,11, , , ,1,1,91
945,2020市總,4058,"關心市政，這是大家對於高雄市政府團隊非常的期待，也對於陳菊市長的期待，在這幾天的質詢，從你上任至今，本席看你被質詢及答詢時，本席給予你肯定，你是一個很大器及有遠見、有前瞻的人才。本席對於你的回應，你對於我們議員質詢時的回答，本席給予你肯定，但是也希望本席質詢時，你也是一樣的對待，所以今天的市政總質詢時間是一個小時，但是本席長期以來，十六年多來本席當選議員第三屆，在每次的會期我都在探討健康、環保，對於我們的地方建設及整個大高雄的監督、爭取建設，因為我們都是高雄市民包括台灣，台灣是我們的母親，我們是2,300萬粒的蕃薯囝仔。台灣是我們的母親，而地球是我們的地母，因為地球滋潤萬物來維持每個人，在地球上有63億人口，所以地球是需要保護，地球需要我們來疼惜，所以宛蓉長期推動少吃肉多蔬果，健康新生命、環保顧地球。十六年來我都沒有變，可是在議會質詢當中有很多的聲音，認為本席質詢的話題是這麼的冷淡、是這麼的沒有選票，為什麼你要說。因為宛蓉十六年來都始終如一，少吃肉多蔬果，健康新生命、環保顧地球，這些都在我們的生活當中，我們進入今天的主題。市長，南北齊發展、高雄共榮圈，這是本席所期待，也是想要看到的希望，因為透過今天的質詢，各位有些住在前鎮、小港，有可能住在高雄縣，他不曾來過漢神巨蛋，但是透過今天的質詢，也讓大家知道高雄市政府團隊是如何認真？如何打拚？所以這是宛蓉所期待，南北齊發展、高雄共榮圈。這是巨蛋，大家都知道的指標。這是美術館，是民眾休閒的好去處。這是凹仔底公園，是民眾運動散步的好地方。愛河之心成為情侶約會的好去處。世運主場館在2009年世運會在高雄，市長，世運在高雄你也辦的非常好，受到國際的矚目，也讓國際知道高雄是那麼熱情的城市，這是高雄人的驕傲。愛河的水質這麼清澈，成為釣客的天堂。當然南區也是有建設，本席認為一個人有做事就要給予稱讚，做不夠的地方要加強，所以剛才說明的地方都已經完成了。但是南區的部分，我們的前鎮、小港，原住民活動中心的行人及自行車道，從中山路跨越兩個凱旋路，這是未來進行審圖、規劃及發包當中。這是興旺橋的願景圖，是現在即將完成的部分。這是鳳山溪橋，我不知道我們的團隊那麼優秀，將這一張也放上去，這是劉世芳副市長在鳳山溪橋動土開工典禮的情形。",['高雄市立美術館'],0,4,0,10, , , ,2,0,333
353,2020新聞,1240,對於去年底九合一大選的慘敗，國民黨如何佈局大高雄市下屆立委選舉，特別是在旗鼓鹽與三民西的選區，能否找不到人投入參選的窘境，港都政壇都在關注。有電視政論節目名嘴指稱，下屆立委可能從濁水溪以南，國民黨可能會全軍覆沒，言下之意，包含國民黨目前在大高雄市的兩席區域立委黃昭順與林國正，也將不保。事實上，從這次市長與市議員選舉各區的得票數來看，下屆立委選舉國民黨在大高雄市的這兩席，可能岌岌可危，不被看好。首先是前鎮與小港區林國正這一席，市長選舉的得票數不說，光是民進黨提名五位市議員候選人全部當選的氣勢來看，只要民進黨不要再分裂，同時出現兩位綠營的候選人，林國正肯定會被輪槓掉，林國正可以說剉勒等！至於被視為國民黨最穩定的鐵票區左營與楠梓區，在這次的市長與市議員選舉幾乎已被民進黨大舉攻破，陳菊在左楠區的得票數共計拿下十一萬之多，確實撼動國民黨的鐵票區，也震撼黃昭順下屆立委的選情。政壇老將，黃昭順看到去年底市長與市議員選舉，民進黨勝選的氣勢，逼迫她不得不提早準備下屆立委選舉，她的競選列車已啟動開跑，希望能殺出綠營的重圍，位國民黨鞏固南台灣可能的唯一一席，能否如願，值得觀察。另外，國民黨在旗津、鼓山、鹽埕與三民西區這一選區，過去推出的立委候選人羅世雄，都是屢戰屢敗，兩次都敗在管碧玲的手下。,[],0,3,29,29, , , ,1,29,102
2367,2020部門,7751,黃議員淑美：剛剛黃柏霖議員講的，打通十全路是我們全三民東區人的期待，希望農業局局長能加把勁，趕快把它處理好。最近我從電視上看到一則，針對日本鎌倉的專題報導。日本鎌倉它是一個很有名的觀光景點，在早期它是個武士之都，也就是說它是以武術出名的。但是他們一直覺得，怎麼沒辦法把它列入文化遺產裡面呢？所以鎌倉當地的政府就把鎌倉定調為武士之都。我今天要談的就是「定位」的問題，這個定位可以影響未來整個城市的發展。,['高雄市政府農業局'],0,3,0,31, , , ,1,0,333
582,2021市總,2050,吳議員益政：自行車道，所謂鐵路…。林副市長欽榮：是，那個部分…。吳議員益政：我剛講的鐵路地下化上面那一段可不可做一些修正？林副市長欽榮：沒錯，而且我也主動的…。吳議員益政：還來得及嗎？現在還來得及嗎？林副市長欽榮：來得及。那個部分的話，還有2個月，所以我還可以的話，我會跨9個標。可以的話，我就盡可能依據剛剛益政議員的提示，如果沒辦法的部分，我們就下一步。但是如果可以的話就往下面，至少在這個biking的過程中有點shadow、遮蔭，這也滿合理的，所以我做得到的地方，我就儘快，因為還有2個月的施工期，我就儘快地來進行。吳議員益政：OK，謝謝。林副市長欽榮：我回去之後馬上就9個標再檢視一下。吳議員益政：好。林副市長欽榮：也懇請我們2個局長，一個是水利局，一個是工務局，就趕快先進行。吳議員益政：都發局本身跟地政局有關重劃區在我剛講的…。林副市長欽榮：是。吳議員益政：把劃自行車道為必要條件，除非不行；第二個是已經重劃好，還沒開發的可不可以透過其他手段來要求？林副市長欽榮：我想我也會把這個帶回去，尤其是地政局，目前還有一些土地重劃正進行之中。都市計畫的話也許可以擺入都市設計準則做為…。吳議員益政：對，要設計準則，不然每次提醒，把準則立法下去就好了。林副市長欽榮：對，優先準則劃下去的話，那麼業者也比較好遵循，也可以必要的容積獎勵，也明白的表示，公務員執行起也比較清楚一些。以上，我就跟吳議員報告。吳議員益政：謝謝。剛剛講的優先把輕軌、捷運旁邊400公尺的人行道先做好。,"['高雄市政府工務局', '高雄市政府地政局', '高雄市政府都市發展局', '高雄市政府水利局']",0,3,0,17, , , ,1,0,333
1605,2020市總,5459,民政局長，你也是和民眾息息相關的工作，我想聽聽你在預算上有何想法？民政局曾局長姿雯：在這裡我有三個部分，第一部分，最近大家都知道市民意識的抬頭，我們在第一線服務的部分，尤其是民政局，我們的區公所和戶所都是第一線服務的單位，這幾年因預算的問題，所以我們常常在廳舍的維持費的部分都不足，市民常常打1999來反映，他到戶所要接受服務時，為何那麼熱都不能開冷氣，我們要等人很多時，才開冷氣，有些基本維持費的部分，我們經常必須…。周議員玲妏：你這問題，好像每個警察局的派出所，都有相同的問題。民政局曾局長姿雯：對，我們必須去調挪，去想辦法，我們好像也感受到持家的困難，我們必須挖東牆補西牆這種方式去處理，如果我們希望這部分能讓市民得到更滿意的服務，我也希望基本維持費的部分，是不是不要摳這麼緊？這是第一部分。第二部分，我們各局處都有一些基本的預算額度，包括基本人事費支出，或法定福利的支出，這都不能刪減的。剛剛教育局長說的，有很多事情是各局處，包括很多創新的東西，這些創新的業務，我們都必須報額度外的需求，如越想做事的局處，這額度外需求就越多，但這些通常都爭取不到預算的。我們如要讓高雄市更進步、更幸福，讓人民的感受更深刻，我認為這些額度外需求是和人民息息相關的政策的部分，我也希望能爭取。,"['高雄市政府民政局', '高雄市政府教育局', '高雄市政府警察局']",0,3,4, , , , ,1,4,167
2121,2020部門,6811,另外，毒品氾濫和吸菸率高，可以說是治安隱憂，也是教育上的遺憾，尤其是毒品氾濫問題。如果在校園內無法改善，或是降低吸菸率，有時對於高雄市的治安會產生威脅和惡化。所以維持校園治安有三個單位、三個方案，譬如說警察局、教育部、法務部都有推動校園掃黑方案，雖然吸菸和幫派並無直接的因果關係，但是販毒和吸毒則和黑道、幫派有關連，所以希望學校不要變成犯罪的溫床和搖籃。在此要請鄭局長在校園吸菸、防毒的預防和稽查這個區塊上，要特別的費心，希望你能夠盡力督促，好不好？教育局鄭局長新輝：好，謝謝。,"['高雄市政府教育局', '高雄市政府警察局']",0,2,24,24,16, , ,0,24,101
2829,2020部門,9846,捷運工程局吳局長義隆：有關林議員關心的部分，就是小港林園線，這個部分的期末報告在今年下半年會完成，完成之後就會專案向中央爭取，這是針對小港林園線的部分。另外林議員關心的岡山路竹延伸線，因為岡山路竹延伸線中央分為兩個階段，第一個階段是1站，第二個階段有7站。在整體的工程裡面分為三個部分，一部分是土木建築工程，這個一般就可以處理的。第二部分是機電系統，因為機電系統如果只以一站下去發包，成本單價很高。因為一個系統裡面，主要的機電系統設計，一次完成的成本平均下來就可以降很多。第三個部分就是車輛，我們第一個階段只有購買一列，也就是三個車箱為一列，我們只有買一列車而已。一列車的成本，因為還要開模去做，所以成本非常高。所以我們第一階段一開始就是統包，也就是全部都納入，同時我們同意第二階段的九列車，讓他們以擴充的方式去做。但是在今年初公告的時候，廠商會認為只有一列車而已，不敷成本沒有辦法做，而且機電系統只有一站而已也沒有辦法做。因此我們這次已經重新公告，採取的方式是土木建築的部分，可以比較多人做的就先施作。也就是土建工程先施作之後，今年底到明年我們會發包二階，就會把機電系統和車輛一起在二階的時候做。今年土建先開始進行，明年二階的土建也同時辦理發包，和機電系統一起進來。這樣一階的部分我們認為應該不會有問題，很快就可以發包出去，發包出去之後我們就可以啟動一階的土建工程。二階的部分明年開始跟進，然後整個系統到RK8這8站就可以整個接起來。所以這個部分我們都有檢討過，目前朝這個方向，廠商應該願意進來的意願比較高，因為他們的成本不會增加，也不會造成廠商的問題。林議員宛蓉：謝謝主席。局長，如果有這樣子的變通性，讓我們的進度可以順利的完成，我想這是好事。,[],0,3,5, , , , ,1,5,334
1336,2020市總,4878,水利局，我們沒有錢也是要想辦法，雨季到了，李局長，我向你建議很久了，樂群路從壽民路到加昌路，軍校路從蔚藍海岸大樓到和光街109巷，這一帶的箱涵全部都是以前預鑄的，以前不是場鑄，就是整個箱涵預鑄好下去銜接的，時間久了，這些箱涵經過地震或車輛重壓最後都會變形，沒有夯實都會凹陷下去，這個部分吳副市長最了解，這個你要去找經費，否則一下雨全部凹陷下去，路面不平，形象很差，還要修補，坑坑洞洞，怎麼補都沒有用，過了不久，下雨又凹陷，補不勝補，愈補愈嚴重，觀瞻不好、形象也差，既然要花錢就要做好，忍痛花錢至少三十年不用挖挖補補，這個部分請市長要重視，請水利李局長答覆。主席（許議長崑源）：請局長答覆。水利局李局長賢義：早期都是用RCP的…。周議員鍾?：用FRP的。水利局李局長賢義：就是PIPE，所以經常會發生問題，樂群路壞掉的部分4月3日我們已經修繕完畢，軍校路和光街109巷的部分我們也修繕完畢，議員針對RCP的管我們會全面來檢視，我們有提出那個地區整個…。周議員鍾?：你們要整體規劃分年進行，沒有錢你就分年、分段下去施工嘛！好不好？水利局李局長賢義：對！因為錢太多，所以我們今年在楠梓…。周議員鍾?：你不能說我沒有錢不要做、我都沒有辦法做。水利局李局長賢義：還是有啊！藍昌路我們開始在規劃了。周議員鍾?：分兩年也好，市民也是希望這樣，局長，要動腦筋。,['高雄市政府水利局'],0,3,0, , , , ,1,0,333
701,2020新聞,2574,高雄市輪船公司昨宣布，三月起全面調漲渡輪各類票種的「現金價」，現場投現的漲幅從二成五到六成不等，漲最多的是全票，從二十五元一口氣調高到四十元，持電子票證仍享目前優惠。當地四位議員都不知道渡輪漲價。蔡金晏指出，拿衝高電子票證當理由，勢必引發爭議；李喬如直言漲幅令人「太有感」，應拿出具體數字說服大眾；簡煥宗擔心造成在旗津上班、上課者負擔，建議漲價應區分觀光客與一般市民；陳美雅認為要衝電子票證應加強便利性，不是透過漲價。這是渡輪兩年內第二度調漲，上回是民國一○四年六月，當時漲幅約三成到六成，若三月再漲，等於不到兩年翻漲一倍多；輪船公司強調，電子票證（目前僅一卡通）使用率目前僅二成七，這回漲價目的之一，就是要拉高電子票證用量。輪船公司說，渡輪票價長期低於其他縣市，為適當反映部分營運成本，同時衝高電子票證用量，三月起將調整鼓山往返旗津、前鎮往返中洲等航線各類票價。輪船公司指出，投現乘客全票由二十五元調為四十元、優待票十二元調為十五元、學生票二十元調為二十五元、機車二十五元調為四十元、自行車維持十元不變。使用電子票證仍保有目前優惠，亦即全票二十元、學生票十五元、優待票十二元（原價打八折後），旗津卡維持原規定不收費。高雄渡輪鼓山往返旗津、前鎮往返中洲兩航線，平日每天運輸一萬人次，假日一萬五千至二萬人次，連假時四萬人次，年運量七百萬人次（一般乘客）。,[],0,3,5, , , , ,1,5,334
1660,2020市總,5571,再來，高11線的拓寬已經開始了，每項都已經調查好了，測量和公聽會也都開完了，因為這條道路地方非常需要，所以拜託工務局趕緊給我一份書面資料，好讓我向民眾答覆。現在還剩下17、18分鐘，本席請陳市長和三位副市長、秘書長和相關的局處：農業局長、都發局長、工務局長、水利局長、地政局長、環保局長出來外面接民眾的陳情書，這種都是理性的，是要讓你們知道來替他們出力而已，請大家出來外面接受他們的陳情書，同時聽聽他們的聲音，只要十多分鐘，請出來外面。主席（康議長裕成）：李議員，你質詢到此，是不是？有沒有要再進來？好。李議員長生：我剩下17分鐘，但是我不能耽誤他們的時間，現在還是我的時間，所以我請市長、副市長及相關局處來接受陳情書，同時聽聽民眾的聲音，因為民眾遠道而來，謝謝。主席（康議長裕成）：時間照算，照常進行，請陳副市長代表去外面接受陳情。,"['高雄市政府工務局', '高雄市政府環境保護局', '高雄市政府地政局', '高雄市政府農業局', '高雄市政府都市發展局', '高雄市政府水利局']",0,3,0,27, , , ,1,0,333
2572,2020部門,8692,這幾年我發現經發局努力推動數位內容跟這些電信產業，還有綠能產業，其中綠能產業我大概看到有一些太陽能光電的單一窗口，還是鼓勵一些民間來投資，甚至成立一些再生能源的公司等等。對於政策作為跟政績我是相當肯定，但我希望更明確，其實我們知道法國是一個核能的大國，核能的依賴比例是占所有能源的75％，法國在前幾年正式的對外宣示，要在2025年努力達到減核25％。我在這邊想問的是我們高雄市在推動綠能產業政策，到底有沒有訂定能源的自給率？譬如說韓國、首爾就有訂立能源自給率，努力於各政策包含工務局、經發局，各方面進行推動。等一下請經發局長答詢，是否有規劃綠能產業更精進措施。財政問題，我快速問兩個問題，因為時間只剩1分半。前兩天大家都很關心高雄市的財政問題，甚至有議員指出高雄是否會變成苗栗的質疑，等一下也請財政局長回答。,"['高雄市政府財政局', '高雄市政府工務局', '高雄市政府經濟發展局']",0,4,19,14, , , ,2,19,135
2335,2020部門,7601,張議員文瑞：首先我要請教工務局楊局長，剛剛局長有提到我們高鐵橋下這條路線，這條線在原高雄縣政府的時候，本席在縣府率先提出這個建議。之後經過非常久的時間，我們許議長那時候就很重視，在岡山各處開了好幾場的說明會，差不多也講了有一陣時間了，我相信市府、包括原高雄縣政府應該已經用很多的精神及經費在這個地方，不知道目前我們工務局進行到哪個程度了？是不是請局長報告一下。主席（曾議員麗燕）：局長，請答覆。工務局楊局長明：張議員對高鐵橋下從阿蓮的環球路到仁武的這一條道路非常的重視，也詢問過很多次。在這個地方要向議員報告，縣市合併之後，我們新工處對於從仁武到阿蓮的高鐵橋下已經做了可行性的研究。可行性的研究做好了，也送到交通部公路總局，我們建議希望交通部能夠把它納入省道，因為從環球路以北到台南的高鐵站是台39，它是省道。既然我們的可行性研究已經做好，所以我們希望中央可以把這一條道路當成省道的一部分，由中央來興建或者由中央來補助我們高雄市政府。目前，因為經費相當龐大，我們估算大概要八十多億，就是二十多公里需要大概八十多億，所以初步公路總局有來函表示：「短期內要先等到國道7號終點到國道10號仁武附近，國道7號一旦興建完成，再來評估北上平面道路的流量。」目前公路總局來文並不是非常正面，我們目前也有透過立法委員跟中央爭取中。在道路還沒有辦法確定之前，我們已經跟體委會爭取到一筆規劃經費，就是從阿蓮環球路往南先到阿公店溪，看看是不是有機會先布設自行車專用道，這一部分我們已經在做先期規劃中。張議員文瑞：我覺得那條道路是非常的重要，現成的地，講不好聽一點就是不用徵收。以北已經做得這麼好了，那以南的20公里，以前差不多在縣政府的時候，預算是說大概六十至七十多億就可以了。現在你說他們重新評估後變成要八十多億，如果你真的沒有辦法一次全部把20公里完成，你也可以分段，像分第一段、第二段、第三段，先做到岡山或是任何地方，我覺得這條是非常重要的一條道路，如果整個完成後，等於就是對北高雄會是一個交通非常方便的一個地方。在這請工務部門，尤其局長、處長配合我們地方的立委向中央極力去爭取，拜託工務局長。,"['高雄市政府工務局', '高雄市政府工務局新建工程處']",0,3,0, , , , ,1,0,333
147,2021市總,530,本席再請教環保局局長，因為你是空污專家，市長聘請你來是要解決高雄市空污的問題，本席請教你，高雄市有需要四座焚化爐嗎？你簡單答復本席。主席（許議長崑源）：環保局長，請答復。環境保護局袁局長中新：謝謝副議長，就高雄市自己所產生的家庭垃圾跟事業廢棄物，總量而言，當然是不需要四座這麼多焚化爐。陸副議長淑美：焚化爐會造成空氣污染嗎？環境保護局袁局長中新：會。陸副議長淑美：會嘛！你認為不需要嘛！好，你先請坐。本席為什麼要突顯這個問題，因為縣市合併之前，原來的高雄縣有兩座焚化爐；高雄市也有兩座焚化爐，合併以後有四座焚化爐。結果很多外縣市的事業廢棄物也好，家庭垃圾也好，全部很多縣市的垃圾幾乎都跑到高雄市來，結果我們也沒有一個很好的防制措施。希望低污染的我們幫忙焚燒就好了，高污染的希望不要進來，我們也沒有這麼有效的管控。焚化爐要如何營運管理？因為據本席所知，仁武焚化廠以及岡山焚化廠是不是跟廠商的簽約都即將到期了，請局長答復，仁武跟岡山的部分。主席（許議長崑源）：局長，請答復。環境保護局袁局長中新：跟副議長報告，對，沒有錯！明年跟後年，這兩個廠因為已經營運20年合約到期了，後續15家…。陸副議長淑美：仁武焚化廠什麼時候到期？環境保護局袁局長中新：仁武是明年。陸副議長淑美：岡山呢？環境保護局袁局長中新：岡山是後年。陸副議長淑美：據本席了解焚化爐也算是會賺錢的機構，本席建議你如果兩座焚化爐到期，市府要考慮讓市府自己來經營，我們不需要再委外經營，不需要簽訂目前那一種不平等合約。本席期望市府可以委任，可以聘請一些專家來市府團隊裡面幫我們專責管理焚化爐，讓財政可以增加收入。我不知道環保局局長對本席的建議有什麼看法？局長，請答復。主席（許議長崑源）：局長，請答復。環境保護局袁局長中新：對於副議長的建議我們來審慎評估，因為到目前為止時間也是很緊湊，因為它的合約馬上就要到期了。陸副議長淑美：明年跟後年，時間不緊湊。環境保護局袁局長中新：我們現在已經開始作業了，因為它…。陸副議長淑美：已經作業了不能修改嗎？有這種事情嗎？環境保護局袁局長中新：我們會來評估。陸副議長淑美：我希望不要讓其他的議員也在議事廳提到這個會賺錢的東西，你故意要讓別人做，不要讓我們自己做，這個沒道理啊！我們也不能接受，我希望你們朝這個方向去做。會賺錢的市政府自己做，當然我們要以控制低污染為原則，會賺錢的行業為什麼我們不要自己做？我們的財政這麼困難，是不是應該這樣？,['高雄市政府環境保護局'],0,2,23, , , , ,0,23,149
2764,2020部門,9558,再接下來，還是要就教於客委會，我一直在麻煩客委會，客委會在高雄是不是有一個屬於客家文化的職訓？我們有看到一些班別，但是就是沒有職業訓練，不曉得這樣的一個課程班別，客委會在執行上有什麼困難點？請主委回答。客家事務委員會古主任委員秀妃：我們的職訓還是在勞工局，因為他並沒有特別針對客籍或什麼，我們曾經接洽過，如果客籍有需要我們是一起，他不會特別的。〔…。〕主席（伊斯坦大‧貝雅夫‧正福議員）：延長3分鐘。李議員雅靜：原民會都能，為什麼客委會不行？原民會有職業訓練，客委會人口數不會少於他們，而且你們的客家文化和原住民文化是一樣優美的，我覺得你們大有可為，只是你們太著重於辦活動，太形式化了，沒辦法為高雄市民、為高雄在地的子弟們留下什麼痕跡。客家事務委員會古主任委員秀妃：除了活動之外，我們課程的訓練也有很多次，只不過沒有和勞工局一起合作辦理職訓，但是有很多傳統技藝、工藝的課程是有的。李議員雅靜：勞工有勞工學苑、原住民有原住民學苑，你們客家有客家學苑嗎？〔有。〕在哪裡？客家事務委員會古主任委員秀妃：在高雄市新客家文化園區，也就是我們辦公室那個5.7公頃的園區，客家文物館。李議員雅靜：很多人都不知道在哪裡，我問客家人還是不知道，誰的錯？客家事務委員會古主任委員秀妃：我們會繼續努力宣傳。李議員雅靜：高雄那麼大只有一個點，你的課程只能在那個點，不能去親近所有市民的時候，你覺得你推起來會不會很辛苦？客家事務委員會古主任委員秀妃：除了那個點以外，我們在鳳山的中正國小和鳳山社大合作、在美濃和旗美社大，還有美濃客家文物館，其實都有開設，只不過我們統一的名稱就是客家學苑。李議員雅靜：所以你們有配合其他的相關課程在做文化推廣和職業的訓練？〔有。〕做完訓練他們進入職場的狀況呢？客家事務委員會古主任委員秀妃：這個我們沒有統計。李議員雅靜：試試看，好不好？因為有限的資源我希望你們可以用在刀口上，試試看，〔是。〕如果是和職業有關係的，包含你們有一些小吃、藍染等等，可以去做這些，怎麼去推廣，包含他們創業可以去做統計，未來你們開班授課，甚至你們可以更多元化的依據，不要只是配合一直上課而已，可以嗎？包含鳳山，我向局長建議，我有和空大校長提一個建議，我們是不是在鳳山設一個分校，設在哪裡？不是設在學校裡面，設在鳳山火車站，我們主站體上面2、3樓有一個很大的空間，分校可以設在那裡。也許你可以和空大合作，或者可以去洽談這些，包含原住民委員會也可以…。客家事務委員會古主任委員秀妃：好，我們試試看。,"['高雄市政府原住民事務委員會', '高雄市政府客家事務委員會', '高雄市立中正國民小學', '高雄市政府勞工局']",0,3,8, , , , ,1,8,13
1786,2020市總,5861,蔡副議長昌達：大家午安，有關中央公園要不要蓋圖書館的議題？請市長答復。主席（康議長裕成）：請市長回答。陳市長菊：中央公園要不要蓋圖書館我現在先說明，剛才看到反對團體說它是私人紀念館，絕對不是私人紀念館，而是他有冠名權，就像高雄市立圖書館總管每一層樓也有不同的冠名，就是我捐獻給市政府，這個我用…。蔡副議長昌達：它是掛李科永的名稱。陳市長菊：掛他的名絕對不是有個人、私人紀念館，像這樣的誤解非常不好，還有說有他們基金會的辦公室，絕對沒有。今天我們高雄市立圖書館，它是中央圖書館的分館，而李科永紀念圖書館不是只有高雄有，台北市、新北市、新竹、宜蘭，有些人願意把錢留給子孫、有些人要蓋圖書館，我個人認為圖書館是不分貧富，每個人都可以進去圖書館，知識的投資，有些人樂意這樣做，也有很多人反對，包括護樹、保護生態、環保，他們有崇高理想的人，我都非常尊重。但是今天有另外一批人，包括當地所有的里長和市民，這個過程之中，一年半來不斷的溝通民調協調，但是我不希望被曲解為這是私人的，我們又不是蔣介石時代，哪有什麼私人紀念館，因為我們反對威權，所以絕對沒有私人的情形。謝謝蔡副議長讓我有說明的機會，高雄是一個多元的社會，民主的聲音、不同的反對意見我都尊重，議會裡面有人贊成、有人反對，我都尊重，但是高雄市政府的決策就是大多數高雄市民的利益，公共利益我們都支持。蔡副議長昌達：就像捐獻給寺廟，然後在柱子上留名是同樣意思。陳市長菊：就是這個意思，譬如你捐一輛消防車，消防車上也有冠名，就是這樣，如果因為這樣要背負那麼多的罪名、罵名，我想公道自在人心。,['高雄市立圖書館'],0,3,0,1, , , ,1,0,333
2308,2020部門,7493,交流，有兩個交流，城鄉。我們現在縣市合併，像那瑪夏這麼漂亮，還是民權國小，應該可以讓我們城區的學校去那裡住一個禮拜，老師和班級及家長都去，不是去度假。就一個禮拜去那邊上課，然後他們來我們城市一個禮拜。台灣現在空教室多嘛！你就把各個學校的空教室打地鋪，男生、女生各一邊，孩子就很高興了。城鄉交流讓小孩子生活經驗豐富，我們談了很多十二年國教，考試的方式，我們沒有認真談論教育的實質內容的改變。我覺得生活經驗是最重要的，易地而求取知識是最好的方便，包括國中或是高中的時候，簽訂姊妹學校，很多學校透過這樣的交流，上下課時間，因為我們高雄，坦白說，跟全世界比起來，我們住的便宜，吃也便宜，學費也便宜。那如果跟那些較貴的交換，你來免費，我去免費，這樣我們賺耶。但是要機票，可以再找航空公司在淡季的時候，我們不要寒暑假嘛，上課時間去跟人家交換，我覺得這樣增加我們高雄整個更友善、更國際化，從小孩子開始做起，用最便宜的方式，沒錢沒…。主席（童議員燕珍）：請鄭局長答覆。教育局鄭局長新輝：我想城鄉交流這個想法是非常好，我也非常認同，高雄市事實上也一直都在做，尤其是合併之後，其實我們推了就是學校校際之間的策略聯盟。也就是說，原高雄市的某一個學校跟原高雄縣的某一個學校是策略聯盟的夥伴學校。他們兩個除了校長和校長之間行政的分享，老師和老師之間教學的分享，學生和學生之間也有城鄉的交流活動。所以前一陣子才有那瑪夏民權的學生就來高雄市的民權國小，他們就招待下來，然後做了一個禮拜的交流。那民權國小這邊的學生也跑到那邊民權國小去，那當然就可以住在民權國小。所以事實上這個交流有時候是有。〔…。〕好，我們持續來推廣啦。因為各學校之間的條件未必完全一樣，不過這個理念是對的，是好的，我們持續來推廣。,"['高雄市政府教育局', '高雄市立民權國民小學']",0,3,16, , , , ,1,16,129
457,2021市總,1594,本席在108年9月有會勘旗津生命紀念館，責成市府設置小型焚化爐，為什麼本席會爭取呢？市長，你也知道，旗津是一個半離島行政區域，它又是具有觀光功能，我們列為觀光重點的一個行政區域，但是你也知道人生就是要走那條路，長輩離開了，兒孫要盡孝，在最後一階段都會燒庫錢，居民燒庫錢都在路邊或海邊，結果被檢舉還會被開罰單，人家已經很悲傷了，政府又來開罰單，不是讓人家更加悲傷嗎？這怎麼解決？那就是在旗津區，我們地點都找好了，市長，可以蓋一個小型燒庫錢的焚化爐，經費不多，只要1，000萬元，結果去年因為政治空窗期而未完成，沒有關係，現在市長「緊！緊！緊！」到位了，1，000萬元而已，不要再等到110年才要編預算，看不到，我希望市長，這1，000萬而已，明年你的預備金也可以拿出來，把私房錢拿出來，民政局基層發包工程的標餘款都可以，這1，000萬很簡單，都找好了，等一下請市長明確回應，這樣子就不會造成空污，讓旗津的鄉親覺得市長真的有關心到旗津的需求。,['高雄市政府民政局'],0,3,4, , , , ,1,4,167
